Isolate,Accession_number,Collection_time,Location,Global_clade,Source
A/Wisconsin/67/2005/2005.001/,EPI_ISL_115646,2005.001,Wisconsin,,GISAID
A/Brisbane/10/2007/2007.999/,EPI_ISL_110723,2007.999,Brisbane,,GISAID
A/Xinjiang-Tianshan/1411/2012/2012.25/,EPI_ISL_133063,2012.25,Xinjiang-Tianshan,,GISAID
A/Perth/16/2009/2009.264/,EPI_ISL_176456,2009.264,Perth,,GISAID
A/Thailand/VIROAF6CS/2012/2012.701/,EPI_ISL_182837,2012.701,Thailand,,GISAID
A/Vladivostok/10/2011/2011.834/,EPI_ISL_125868,2011.834,Vladivostok,,GISAID
A/Hunan-Yanfeng/165/2011/2011.284/,EPI_ISL_93781,2011.284,Hunan-Yanfeng,,GISAID
A/Novosibirsk/1927/2011/2011.303/,EPI_ISL_99180,2011.303,Novosibirsk,,GISAID
A/Brisbane/159/2011/2011.36/,EPI_ISL_13871171,2011.36,Brisbane,,GISAID
A/Kenya/152/2011/2011.662/,EPI_ISL_106257,2011.662,Kenya,,GISAID
A/Tanzania/952/2011/2011.363/,EPI_ISL_99075,2011.363,Tanzania,,GISAID
A/SantoAntoniodaPatrulha/LACENRS-60/2011/2011.336/,EPI_ISL_263141,2011.336,SantoAntoniodaPatrulha,,GISAID
A/Johannesburg/153/2011/2011.508/,EPI_ISL_96035,2011.508,Johannesburg,,GISAID
A/Kenya/231/2012/2012.589/,EPI_ISL_139136,2012.589,Kenya,,GISAID
A/Kenya/225/2012/2012.234/,EPI_ISL_131221,2012.234,Kenya,,GISAID
A/Wakayama-C/25/2011/2011.295/,EPI_ISL_96822,2011.295,Wakayama-C,,GISAID
A/Guangdong/174/2011/2011.623/,EPI_ISL_165433,2011.623,Guangdong,,GISAID
A/Umea/3/2011/2011.39/,EPI_ISL_90436,2011.39,Umea,,GISAID
A/Madagascar/3299/2011/2011.432/,EPI_ISL_99881,2011.432,Madagascar,,GISAID
A/Madagascar/2269/2011/2011.295/,EPI_ISL_99880,2011.295,Madagascar,,GISAID
A/Peru/PER395/2011/2011.812/,EPI_ISL_152492,2011.812,Peru,,GISAID
A/Peru/PER399/2012/2012.255/,EPI_ISL_152496,2012.255,Peru,,GISAID
A/Wakayama/154/2011/2011.448/,EPI_ISL_96821,2011.448,Wakayama,,GISAID
A/Wisconsin/21/2011/2011.336/,EPI_ISL_93488,2011.336,Wisconsin,,GISAID
A/Yokohama/144/2011/2011.39/,EPI_ISL_94357,2011.39,Yokohama,,GISAID
A/Peru/PER397/2011/2011.692/,EPI_ISL_152494,2011.692,Peru,,GISAID
A/Roraima/121143/2012/2012.75/,EPI_ISL_143304,2012.75,Roraima,,GISAID
A/RioGrandedoNorte/121985/2013/2013.045/,EPI_ISL_143309,2013.045,RioGrandedoNorte,,GISAID
A/Wellington/5/2012/2012.447/,EPI_ISL_128656,2012.447,Wellington,,GISAID
A/Dnipro/194/2012/2012.225/,EPI_ISL_121904,2012.225,Dnipro,,GISAID
A/Uruguaiana/LACENRS-368/2011/2011.467/,EPI_ISL_263241,2011.467,Uruguaiana,,GISAID
A/SantaFe/277947/2011/2011.505/,EPI_ISL_132654,2011.505,SantaFe,,GISAID
A/Canela/LACENRS-102/2011/2011.382/,EPI_ISL_263273,2011.382,Canela,,GISAID
A/Soledade/LACENRS-820/2011/2011.519/,EPI_ISL_263143,2011.519,Soledade,,GISAID
A/FredericoWestphalen/LACENRS-2130/2012/2012.567/,EPI_ISL_263156,2012.567,FredericoWestphalen,,GISAID
A/Slovenia/9/2012/2012.007/,EPI_ISL_103263,2012.007,Slovenia,,GISAID
A/Roraima/121120/2012/2012.638/,EPI_ISL_143303,2012.638,Roraima,,GISAID
A/Roraima/121107/2012/2012.731/,EPI_ISL_143302,2012.731,Roraima,,GISAID
A/FredericoWestphalen/LACENRS-204/2012/2012.449/,EPI_ISL_263304,2012.449,FredericoWestphalen,,GISAID
A/Norway/1443/2012/2012.433/,EPI_ISL_132040,2012.433,Norway,,GISAID
A/Para/121549/2012/2012.933/,EPI_ISL_143306,2012.933,Para,,GISAID
A/Wisconsin/25/2012/2012.624/,EPI_ISL_128999,2012.624,Wisconsin,,GISAID
A/Israel/10/2012/2012.829/,EPI_ISL_140344,2012.829,Israel,,GISAID
A/Austria/710638/2012/2012.944/,EPI_ISL_134158,2012.944,Austria,,GISAID
A/PaysDeLoire/2149/2011/2011.988/,EPI_ISL_106651,2011.988,PaysDeLoire,,GISAID
A/Ukraine/5508/2012/2012.275/,EPI_ISL_136407,2012.275,Ukraine,,GISAID
A/Iasi/93306/2012/2012.072/,EPI_ISL_118774,2012.072,Iasi,,GISAID
A/BuenosAires/R173/2011/2011.489/,EPI_ISL_132634,2011.489,BuenosAires,,GISAID
A/PuertoMontt/12477/2012/2012.127/,EPI_ISL_119880,2012.127,PuertoMontt,,GISAID
A/Tucuman/273/2011/2011.568/,EPI_ISL_132628,2011.568,Tucuman,,GISAID
A/Victoria/920/2012/2012.764/,EPI_ISL_134478,2012.764,Victoria,,GISAID
A/Wyoming/3/2012/2012.1/,EPI_ISL_108351,2012.1,Wyoming,,GISAID
A/Wyoming/1/2012/2012.026/,EPI_ISL_105763,2012.026,Wyoming,,GISAID
A/Wyoming/7/2012/2012.234/,EPI_ISL_119888,2012.234,Wyoming,,GISAID
A/Wyoming/11/2012/2012.357/,EPI_ISL_122128,2012.357,Wyoming,,GISAID
A/Santiago/18456/2011/2011.642/,EPI_ISL_98644,2011.642,Santiago,,GISAID
A/Wisconsin/22/2011/2011.286/,EPI_ISL_93486,2011.286,Wisconsin,,GISAID
A/Reims/39/2011/2011.999/,EPI_ISL_106771,2011.999,Reims,,GISAID
A/Estonia/66837/2012/2012.239/,EPI_ISL_121921,2012.239,Estonia,,GISAID
A/Victoria/892/2011/2011.842/,EPI_ISL_106867,2011.842,Victoria,,GISAID
