Isolate,Collection_time,Country,Nextstrain_clade,Source
hCoV-19/Wuhan/Hu-1/2019.985/19A,2019.985,Wuhan,19A,GISAID
hCoV-19/Wuhan/WIV05/2019.996/19A,2019.996,Wuhan,19A,GISAID
hCoV-19/Wuhan/IPBCAMS-WH-02/2019.996/19A,2019.996,Wuhan,19A,GISAID
hCoV-19/Australia/SA0305/2020.081/19A,2020.081,Australia,19A,GISAID
hCoV-19/Nepal/61/2020.034/19A,2020.034,Nepal,19A,GISAID
hCoV-19/Netherlands/ZuidHolland_94/2020.247/19A,2020.247,Netherlands,19A,GISAID
hCoV-19/HongKong/HKU-200723-051/2020.25/19A,2020.25,HongKong,19A,GISAID
hCoV-19/USA/WI-CDC-03041142-001/2020.083/19A,2020.083,USA,19A,GISAID
hCoV-19/Curacao/CW-RIVM-10308/2020.19/19A,2020.19,Curacao,19A,GISAID
hCoV-19/Australia/NSW10/2020.16/19A,2020.16,Australia,19A,GISAID
hCoV-19/Finland/1/2020.078/19A,2020.078,Finland,19A,GISAID
hCoV-19/Italy/CAM-CRGS-35/2020.214/19A,2020.214,Italy,19A,GISAID
hCoV-19/Thailand/63015565__2019/2020.501/19A,2020.501,Thailand,19A,GISAID
hCoV-19/Indonesia/JI-ITD-4522NT/2020.302/19A,2020.302,Indonesia,19A,GISAID
hCoV-19/Wuhan/HB-WH5-237/2020.201/19A,2020.201,Wuhan,19A,GISAID
hCoV-19/Kazakhstan/122252/2020.165/19A,2020.165,Kazakhstan,19A,GISAID
hCoV-19/Germany/BAV-PL-virotum_RTWDF/2020.908/19A,2020.908,Germany,19A,GISAID
hCoV-19/Singapore/150/2020.212/19A,2020.212,Singapore,19A,GISAID
hCoV-19/Mexico/JAL-InDRE-11/2020.217/19A,2020.217,Mexico,19A,GISAID
hCoV-19/HongKong/HKPU-00613/2020.242/19A,2020.242,HongKong,19A,GISAID
hCoV-19/Indonesia/JI-ITD-1180NT/2020.239/19A,2020.239,Indonesia,19A,GISAID
hCoV-19/Australia/WA11/2020.143/19A,2020.143,Australia,19A,GISAID
hCoV-19/Australia/SA0097/2020.143/19A,2020.143,Australia,19A,GISAID
hCoV-19/Italy/LAZ-INMI1-cs/2020.078/19A,2020.078,Italy,19A,GISAID
hCoV-19/USA/OR-PROV-123/2020.321/19A,2020.321,USA,19A,GISAID
hCoV-19/Jamaica/un-CDC-3088778-001/2020.206/19A,2020.206,Jamaica,19A,GISAID
hCoV-19/USA/NY-AECOM_075/2020.266/19A,2020.266,USA,19A,GISAID
hCoV-19/SriLanka/COV486/2020.247/19A,2020.247,SriLanka,19A,GISAID
hCoV-19/Uganda/UG038/2020.234/19A,2020.234,Uganda,19A,GISAID
hCoV-19/Philippines/PH-RITM-0065/2020.398/19A,2020.398,Philippines,19A,GISAID
hCoV-19/India/GJ-GBRC24a/2020.318/19A,2020.318,India,19A,GISAID
hCoV-19/Philippines/PH-RITM-0057/2020.214/19A,2020.214,Philippines,19A,GISAID
hCoV-19/Oman/RESP-20-2850/2020.212/19A,2020.212,Oman,19A,GISAID
hCoV-19/Singapore/550/2020.378/19A,2020.378,Singapore,19A,GISAID
hCoV-19/Malaysia/MGI-MAEPS54/2020.425/19A,2020.425,Malaysia,19A,GISAID
hCoV-19/Timor-Leste/TL14/2020.28/19A,2020.28,Timor-Leste,19A,GISAID
hCoV-19/Singapore/778/2020.529/19A,2020.529,Singapore,19A,GISAID
hCoV-19/Singapore/825/2020.611/19A,2020.611,Singapore,19A,GISAID
hCoV-19/Singapore/583/2020.381/19A,2020.381,Singapore,19A,GISAID
hCoV-19/Singapore/58/2020.269/19A,2020.269,Singapore,19A,GISAID
hCoV-19/Tunisia/7899/2020.264/19A,2020.264,Tunisia,19A,GISAID
hCoV-19/Thailand/CU-SI2011588-NT/2020.258/19A,2020.258,Thailand,19A,GISAID
hCoV-19/Iran/2949/2020.157/19A,2020.157,Iran,19A,GISAID
hCoV-19/Canada/MB-NML-767/2020.212/19A,2020.212,Canada,19A,GISAID
hCoV-19/Bahrain/BAH-05/2020.204/19A,2020.204,Bahrain,19A,GISAID
