Isolate,Accession_number,Collection_time,Country,Continent,Clade,Source
ERR047884,ERR047884,2009,Samara, Russia,Europe,EAI,Casali et al. (2014)
ERR234635,ERR234635,2009,Samara, Russia,Europe,EAI,Casali et al. (2014)
ERR158603,ERR158603,2009,Samara, Russia,Europe,EAI,Casali et al. (2014)
ERR117453,ERR117453,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229922,ERR229922,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228017,ERR228017,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133889,ERR133889,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067673,ERR067673,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229966,ERR229966,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229923,ERR229923,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234623,ERR234623,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108502,ERR108502,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067718,ERR067718,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229962,ERR229962,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234593,ERR234593,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108491,ERR108491,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158597,ERR158597,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067649,ERR067649,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229916,ERR229916,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144543,ERR144543,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144600,ERR144600,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067587,ERR067587,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137269,ERR137269,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR234576,ERR234576,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR227978,ERR227978,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228064,ERR228064,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229960,ERR229960,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR133853,ERR133853,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR158611,ERR158611,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067611,ERR067611,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR137211,ERR137211,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR117470,ERR117470,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144593,ERR144593,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR144549,ERR144549,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067578,ERR067578,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067583,ERR067583,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR228020,ERR228020,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR229994,ERR229994,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR067656,ERR067656,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
ERR108484,ERR108484,2009,Samara, Russia,Europe,Beijing_cladeA,Casali et al. (2014)
