Isolate,Accession_number,Collection_time,Country,Continent,Genotype,Source
ERR2102110|2008|France|Europe,ERR2102110,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102111|2008|France|Europe,ERR2102111,2008,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102112|2008|France|Europe,ERR2102112,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102113|2008|France|Europe,ERR2102113,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102114|2008|France|Europe,ERR2102114,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102115|2008|France|Europe,ERR2102115,2008,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102116|2008|France|Europe,ERR2102116,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102117|2008|France|Europe,ERR2102117,2008,France,Europe,Others,Bouchez et. al. (2018)
ERR2102118|2008|France|Europe,ERR2102118,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102119|2008|France|Europe,ERR2102119,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102120|2008|France|Europe,ERR2102120,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102121|2008|France|Europe,ERR2102121,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102122|2008|France|Europe,ERR2102122,2008,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102123|2008|France|Europe,ERR2102123,2008,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102124|2009|France|Europe,ERR2102124,2009,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102125|2009|France|Europe,ERR2102125,2009,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102126|2009|France|Europe,ERR2102126,2009,France,Europe,Others,Bouchez et. al. (2018)
ERR2102127|2009|France|Europe,ERR2102127,2009,France,Europe,Others,Bouchez et. al. (2018)
ERR2102128|2009|France|Europe,ERR2102128,2009,France,Europe,Others,Bouchez et. al. (2018)
ERR2102129|2011|France|Europe,ERR2102129,2011,France,Europe,Others,Bouchez et. al. (2018)
ERR2102130|2011|France|Europe,ERR2102130,2011,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102131|2011|France|Europe,ERR2102131,2011,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102132|2013|France|Europe,ERR2102132,2013,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102133|2013|France|Europe,ERR2102133,2013,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102134|2014|France|Europe,ERR2102134,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102135|2014|France|Europe,ERR2102135,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102136|2014|France|Europe,ERR2102136,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102137|2014|France|Europe,ERR2102137,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102138|2014|France|Europe,ERR2102138,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102139|2014|France|Europe,ERR2102139,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102140|2014|France|Europe,ERR2102140,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102141|2014|France|Europe,ERR2102141,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102142|2014|France|Europe,ERR2102142,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102143|2014|France|Europe,ERR2102143,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102144|2014|France|Europe,ERR2102144,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102145|2014|France|Europe,ERR2102145,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102146|2014|France|Europe,ERR2102146,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102147|2014|France|Europe,ERR2102147,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102148|2014|France|Europe,ERR2102148,2014,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102149|2014|France|Europe,ERR2102149,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102150|2014|France|Europe,ERR2102150,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102151|2014|France|Europe,ERR2102151,2014,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102152|2015|France|Europe,ERR2102152,2015,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102153|2015|France|Europe,ERR2102153,2015,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102154|2015|France|Europe,ERR2102154,2015,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102155|2015|France|Europe,ERR2102155,2015,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102156|2015|France|Europe,ERR2102156,2015,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
ERR2102157|2015|France|Europe,ERR2102157,2015,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102158|2015|France|Europe,ERR2102158,2015,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102159|2015|France|Europe,ERR2102159,2015,France,Europe,ptxP3/fim3-1,Bouchez et. al. (2018)
ERR2102160|2015|France|Europe,ERR2102160,2015,France,Europe,ptxP1/fim3-1,Bouchez et. al. (2018)
ERR2102161|2015|France|Europe,ERR2102161,2015,France,Europe,ptxP3/fim3-2,Bouchez et. al. (2018)
